name,address,rating,reviews_count,types,phone,website,reviews_sample,search_query,owner_name,emails,instagram,whatsapp,telegram,last_scenario,last_channel,pitch_cold_call,pitch_corporate_benefit_email,pitch_corporate_benefit_cold_call,pitch_partner_network_email,pitch_microbusiness_whatsapp,pitch_finvy_main_cold_call,pitch_microbusiness_cold_call,pitch_email,scenario,pitch_partner_network_cold_call,pitch_whatsapp,pitch_corporate_benefit_whatsapp,pitch_microbusiness_email,pitch_partner_network_whatsapp
Selfie Coffee,"ул. Тохтарова 51, Усть-Каменогорск 070000, Казахстан",4.6,99,"cafe, establishment, food, point_of_interest, store",8 (705) 528 1303,https://www.facebook.com/selfiecoffeeuka/,"Уютное, атмосферное место, вкусный кофе, НО! Какая-то ерунда с кухней. 3 раза заказывала одни и те же блинчики и порция каждый раз была 1. Разного размера (когда на 1/3 меньше, это заметно) и 2. Разного состава. И только один из этих 3х раз они были вкусными.  Так что, есть там не советую. Посидеть, поболтать, выпить по чашке кофе - да, не больше | Очень вкусно. Немного медлительно для завтрака, но еда отменная. Заказывали блины с красной рыбой и яйцом пашот. Рекомендую",,,,,,,Основной оффер Finvy,Звонок,"**Приветствие и представление**  
«Добрый день, меня зовут [Ваше имя], я менеджер по партнёрствам в Finvy – платформе, которая соединяет качественные сервисы с целевой, платежеспособной аудиторией. Мы заметили ваш уютный кофе‑бар Selfie Coffee на ул. Тохтарова 51 и очень впечатлены 4.6‑й оценкой и 99 отзывами.  

**Крючок / боль**  
Ваша кофейня уже привлекает любителей хорошего вкуса, но иногда клиенты жалуются на несогласованность порций и сервис, что может оттолкнуть новых посетителей. Увеличить поток постоянных клиентов и получить отзывчивую аудиторию – задача, которую можно решить, не тратя на рекламу.  

**Предложение**  
Finvy размещает ваш бизнес в разделе «Кешбэк» и «Рекомендации», где пользователи активно ищут качественные места, чтобы сэкономить и получить бонусы. Это бесплатный маркетинговый канал, где каждый пользователь уже готов тратить деньги, а ваша точка получает целевых клиентов.  

**Закрытие**  
Давайте устроим короткое демо, чтобы показать, как можно быстро запустить акцию. Когда вам удобно в ближайшие дни?  

**Типичные возражения**  
1️⃣ *«У нас уже есть маркетинг»* – Finvy не заменяет, а дополняет. Вы получаете дополнительный поток, который не требует ваших ресурсов, а просто открывает доступ к аудитории, которая ищет именно такие предложения.  

2️⃣ *«Нам не хватает времени на управление акцией»* – мы полностью берём на себя настройку и отчётность. Вы видите результаты в реальном времени, а нам не нужны ваши часы.  

С нетерпением жду возможности обсудить детали!»",,,,,"Здравствуйте, меня зовут [Имя], я менеджер по продажам в Finvy. Позвольте сразу перейти к делу – я заметил, что Selfie Coffee имеет рейтинг 4,6 из 99 отзывов в Facebook, а также замечательные комментарии о вкусном кофе и уютной атмосфере. Но в одном из отзывов упоминается проблема с консистентностью блюд и небольшая задержка при завтраках. Это типичная «скрытая» потеря времени и денег, которую многие кафе не видят без детального анализа.

Мы предлагаем AI‑помощник, который за 3 минуты подключается к вашим кассовым системам, автоматически собирает данные из Kaspi, Halyk и наличных, и сразу показывает:  
– реальный доход и чистую прибыль за каждый месяц,  
– где именно вы теряете деньги (например, в закупах или излишних расходах),  
– когда и сколько нужно платить налогами, чтобы избежать штрафов,  
– какой банковский чек‑карта даст максимальный кэшбэк, и  
– какова фактическая стоимость каждого сотрудника.

Если вы потратите несколько минут, чтобы посмотреть, сколько вы можете сэкономить на кэшбэке от карт и избежать лишних налоговых платежей, то уже через неделю вы увидите, как растёт ваша чистая прибыль.  

Ваша аудитория оценит, что вы работаете с точной информацией, а не с догадками. И всё это за цену, сопоставимую с подпиской на Яндекс Музыку.  

Я предлагаю вам бесплатно протестировать Finvy в течение первых 7 дней. Если не будете довольны, отмена в один клик. Как вам идея попробовать и посмотреть, сколько денег можно вернуть в ваш кассовый ящик за первый месяц?",,"**Тема:** Увеличьте поток клиентов в Selfie Coffee через Finvy  

Здравствуйте!  

Мы заметили, как Selfie Coffee привлекает ценителей хорошего кофе в Усть‑Каменогорске: 4,6 из 5, множество положительных отзывов и уютная атмосфера. В Finvy у нас есть аудитория, которая активно планирует и контролирует расходы, и именно такие люди ищут качественные места для отдыха.  

Предлагаем разместить ваш кофе‑шоп в разделе «Рекомендации» и «Кешбэк» Finvy. Это бесплатный маркетинговый канал, который принесёт целевых клиентов, готовых платить за вкусный кофе и приятную обстановку. Вы получите повышенную видимость, а наши пользователи — выгодные предложения.  

Готовы обсудить детали? Свяжитесь с нами по email или телефону, чтобы включить Selfie Coffee в список партнёров Finvy.  

С уважением,  
[Ваше имя]  
Менеджер по партнёрствам, Finvy",Партнёрская сеть — кешбэк и акции,,"Привет, команда Selfie Coffee ☕️! Я увидел ваш уютный кафе и отличные отзывы, особенно про блины с красной рыбой. В Finvy хотим добавить вас в раздел «Рекомендации», чтобы привлечь целевых клиентов, уже следящих за своими финансами. Это полностью бесплатно, без затрат – только выгода. Заинтересованы в сотрудничестве?",,,"Привет, команда Selfie Coffee! 🎉 У нас 15 % кешбэк на всё, и пользователи Finvy уже ищут уютные места с вкусным кофе – как ваш на Тохтарова 51. Они ценят качество и атмосферу, а отзывы подтверждают это. Добавьте ваш профиль в раздел «Рекомендации» и сразу увидите поток новых клиентов. Готовы попробовать? Да"
Папа Джованни,"Сагадат Нурмагамбетова 34, Усть-Каменогорск 070000, Казахстан",4.8,57,"cafe, establishment, food, point_of_interest, store",8 (776) 551 1010,,"Был днём. Интересное оформление. Чистый туалет. Приятный персонал.
Заказывал чай черный с курагой и изюмом, в порции 600 мл. Чай вовремя заварен, но в чайник добавлена мята, вкус которой явно превалирует, поэтому получается вовремя заваренный мятный чай. За чайник чая изначально адекватная цена - 1100 тенге с учётом обслуживания, но на выходе совсем другой продукт получается, поэтому такая оценка. | Уютное, не большое комфортное место, где можно вкусно перекусить или посидеть и поболтать с друзьями, кафе не большое, но в этом есть своя изюминка, обязательно зайдите, хотя бы попить вкусный чай!",,,,,,,Основной оффер Finvy,Звонок,"**Приветствие**  
""Здравствуйте! Я [Имя] — менеджер по партнёрствам в Finvy.  

**Крючок / боль**  
Я заметил, что «Папа Джованни» в Усть‑Каменогорске с рейтингом 4,8 и отличными отзывами – это отличный сервис, но в городе много кафе, и потенциальные гости часто остаются в поиске.  

**Предложение**  
Finvy добавит ваше заведение в разделы «Рекомендации» и «Кешбэк» — бесплатный маркетинговый канал, который привлекает платежеспособных пользователей, уже готовых заехать на чашку чая и перекусить.  

**Закрытие**  
Готов показать, как это работает в 15‑минутном демо. Какой день и время в следующую среду вам удобно?  

**Ответы на возражения**  

1️⃣ *«Мы уже пользуемся соцсетями»* – соцсети – это лишь часть аудитории. Finvy напрямую соединяет вас с пользователями, которые ищут кафе, и предоставляет данные о их поведении, чтобы вы могли быстро реагировать.  

2️⃣ *«Нам не нужны новые каналы»* – наш сервис не требует инвестиций, а только расширяет охват среди тех, кто уже ищет качественные места, как ваше, и готов платить за удобство.  

Спасибо за внимание, жду вашего ответа!",,,,,"Здравствуйте, меня зовут [Ваше имя] из команды Finvy. Я не просто звоню в случайное кафе – я посмотрел, что в Усть‑Каменогорске есть «Папа Джованни» с 4,8‑звёздочным рейтингом и более 50 отзывами. Это значит, что у вас уже есть стабильный поток клиентов, и вы умеете делать вкусный чай, как в одном из комментариев, но, как большинство заведений, вы, возможно, не видите полностью, куда уходят деньги.

Представьте, что за каждый 100 000₸, которые приходят в кассу, вы можете сразу увидеть, сколько из них реально остаётся как прибыль, а сколько идёт на закуп, аренду, налоги и так далее. Finvy умеет автоматически собирать данные со всех ваших банковских карт – Kaspi, Halyk, Freedom – и в течение минуту выводить точную картину: прибыль за месяц, самые дорогие статьи расходов, напоминания о налогах до того, как они станут штрафом, и даже подсказку, какую карту использовать для закупок, чтобы получить максимум кэшбека.

Ниже пример: если ваш месяц выручки составляет 5 млн ₸, а расходы – 4,1 млн ₸, Finvy покажет, что чистая прибыль – 900 тыс. ₸ и предложит, например, изменить карту для закупок, чтобы вернуть 15 тыс. ₸ кэшбека в месяц. Это сразу добавит 150 тыс. ₸ к вашему доходу в год.

Всё, что вам нужно – это подключиться за 3 минуты, и в течение первых 7 дней вы можете протестировать сервис бесплатно. Вы можете отменить подписку в любой момент, но я уверен, что вы захотите продолжить, когда увидите, сколько времени и денег вы экономите.

Как вы сейчас контролируете финансы? Давайте обсудим, как Finvy может помочь вашему кафе работать более прибыльно, не тратя часы на Excel и отчёты бухгалтера. Когда удобно поговорить подробнее?",,"Тема: Развитие Папа Джованни через финтех-инструменты

Здравствуйте!

Мы проанализировали работу Папа Джованни и видим большой потенциал для оптимизации через Finvy. Наше решение позволяет эффективно управлять финансовыми потоками и привлекать новую аудиторию через систему кешбэка.

Готовы обсудить подробности?

С уважением, команда Finvy.",Партнёрская сеть — кешбэк и акции,,"Привет, команда Папа Джованни! 👋  
Мы в Finvy помогаем уютным кафе, как ваше, привлекать целевых клиентов через разделы «Рекомендации» и «Кешбэк».  
У вас уже 4.8 звезды и отличные отзывы о чаях и атмосфере, а наш бесплатный маркетинговый канал может вывести их на новый уровень.  
Готовы обсудить, как совместно увеличить поток посетителей? Да?",,,"Привет! Я из Finvy – приложения с кешбэком 15% на всё. Мы хотели бы разместить «Папа Джованни» в разделе «Рекомендации» и «Кешбэк», чтобы привлечь в ваш уютный кафе новых клиентов, которые ценят выгоду. Ваш рейтинг 4.8 и отзывы о чате и атмосфере делают это идеальным! Готовы обсудить детали? ☕"
Frida Coffee,"Проспект Ауэзова 12, Усть-Каменогорск 070000, Казахстан",4.4,53,"cafe, establishment, food, point_of_interest, store",8 (776) 000 9021,https://instagram.com/frida_coffee_ukg,"Лучший кофе в городе! И худший сервис. Более неприветливый персонал я не встречал. | Классное, вкусное место.
Нравится подача и эстетика.
По приезду всегда забегаю.",,,,rsrc.php,,,Основной оффер Finvy,Звонок,"**Приветствие и представление**  
— Здравствуйте, меня зовут Ирина, я менеджер по партнёрству в Finvy.  

**Крючок / боль**  
— Я заметила, что Frida Coffee – одно из самых обсуждаемых кафе на Проспекте Ауэзова. Отличный кофе и стильная атмосфера, но в рецензиях встречаются упоминания о «неприятном сервисе». Это значит, что вы уже привлекаете клиентов, но ещё есть потенциал увеличить их лояльность и повторные визиты.  

**Предложение**  
— Finvy – бесплатный маркетинговый канал для платёжеспособных пользователей, которые следят за своими расходами и всегда ищут выгодные предложения. Мы поместим ваш кофе‑бар в раздел «Кешбэк» и «Рекомендации» на платформе, и каждый пользователь получит скидку, а вы получите поток целевых клиентов без каких‑либо затрат со стороны.  

**Закрытие на следующий шаг**  
— Как насчёт 15‑минутного демо‑звонка в ближайшие дни, чтобы я показала, как это работает и как быстро можно начать получать новые заказы?  

**Ответы на 2 типичных возражения**  

1. **«Мы уже проводим акции в Instagram»** – Отлично, но Finvy добавит ваш бренд в целевую аудиторию, которая ищет именно выгодные предложения, и не требует дополнительного бюджета.  

2. **«Мне не нужны дополнительные каналы»** – Понимаю. Однако Finvy открывает доступ к 50 000+ активным пользователям, которые ценят качество и экономию. Это простой способ увеличить видимость и доверие к вашему кафе без усилий с вашей стороны.",,,,,"Здравствуйте, меня зовут [Имя] из компании Finvy. Я заметил ваш кафе Frida Coffee, расположенное на Проспекте Ауэзова, и увидел, что у вас 4,4‑звёздочный рейтинг на 53 отзывах. Отличная атмосфера и вкусный кофе, но в одном из отзывов отмечается, что сервис иногда оставляет желать лучшего – это типичная проблема для быстрорастущих кофеен.

Я понимаю, как сложно держать финансовый контроль, когда ежедневно приходят заказы, закупки, зарплаты и всё подряд. Представьте, если бы вы могли за пару минут увидеть, сколько реально прибыли у вас в месяц, сколько стоит каждый сотрудник и какие банковские карты приносят вам кэшбек. С Finvy вы получите точные цифры: ваш оборот, чистая прибыль и даже предупреждения о налогах до того, как придёт срок.

Мы предлагаем:

• Автоматический сбор всех ваших счетов – Kaspi, Halyk, наличные – в одном месте  
• Аналитика доходов и расходов, чтобы быстро находить скрытые потоки прибыли  
• Налоговый калькулятор с напоминаниями и расчётом отчислений  
• Карточный кэшбек‑отчёт, показывающий, какая карта лучше подходит для ваших ежедневных покупок

За первые 7 дней вы можете попробовать бесплатно, а если что‑то не устроит, отмена в один клик. Плюс, подключение займет всего 3 минуты, и вы начнёте экономить часы, которые сейчас тратите на расчёты в Excel.

Можно ли договориться о коротком звонке, чтобы показать вам демо и обсудить, как Finvy может повысить ваш чистый доход? Спасибо за внимание и удачного дня.",,"**Тема:**  
Frida Coffee + Finvy: Бесплатный поток новых клиентов  

**Приветствие:**  
Здравствуйте, команда Frida Coffee!  

**Основной текст:**  
В Finvy мы помогаем нашим пользователям, которые уже платёжеспособны и следят за своими расходами, находить лучшие места для отдыха и покупок. Ваш кафе на Проспекте Ауэзова 12 уже завоевало 4.4/5 по 53 отзывам – это отличный старт. Включив Frida Coffee в раздел «Рекомендации» и «Кешбэк», вы получите доступ к целевой аудитории Finvy, которая ценит качественный сервис и эстетичную атмосферу (как отмечают ваши гости).  

Никаких затрат – только выгода: каждый пользователь Finvy может открыть ваш профиль, получить специальное предложение и стать постоянным клиентом. Мы предлагаем мгновенную интеграцию и поддержку в настройке промо‑акций.  

**Призыв к действию:**  
Готовы обсудить детали? Ответьте на это письмо или позвоните по номеру +7 (776) 000 9021, и мы вместе сделаем Frida Coffee ещё более популярным в Усть‑Каменогорске.  

С уважением,  
[Ваше имя]  
Менеджер по партнёрствам, Finvy",Партнёрская сеть — кешбэк и акции,,"Привет! ☕️ Я видел, что Frida Coffee — популярное кафе с 4.4⭐ и яркими отзывами в Усть‑Каменогорске. В Finvy мы бесплатно размещаем такие места в разделе «Рекомендации» и привлекаем к ним платежеспособных, финансово грамотных клиентов. Готовы ли вы получить поток целевых посетителей без затрат? Да/Нет.",,,"Привет, команда Frida Coffee! ☕️  
Ваш кофе – лучший в городе, а 4.4 из 53 отзывов подтверждают это.  
С Finvy к каждому заказу добавится 15 % кешбэк, и ваш лофт получит поток новых ценителей выгодного шопа.  
Мы разместим вас в разделе «Кешбэк» и дадим аналитику переходов.  
Готовы обсудить?"
Coffee Boom,"улица Казахстан 62, Усть-Каменогорск 070000, Казахстан",3.5,38,"cafe, establishment, food, point_of_interest, store",8 (778) 222 5554,http://coffeeboom.kz/,"Не рекомендую НИКОМУ. Не совершайте ОШИБКУ. Администратор по ее СЛОВАМ должна работать документами а не делать так чтобы еда выходила вовремя и официанты успевали свою работу.

Еду ждали почти больше 70 минут. В итоге пасту вынесли остывшей. Кесадилью тоже самое. Чай наливают наверное из крана так как не могут сделать его горячим.

Одно разочарование. | Зная кофе Бум в Ате пришла сюда и очень пожалела. Админ обратите внимание как они готовят🤦🏻‍♀️ Заказала салат с рукколой и авокадо. Авокадо и в помине нет в место нее добавили огурцы, 🤦🏻‍♀️. Суп с тыквы одна жижа а не пюре то есть не густое как должно быть. Я разочарована",,,"marketing-almaty@coffeeboom.kz, marketing@coffeeboom.kz, info_coffeeboom2010@mail.ru, accounting@coffeeboom.kz, zakup@coffeeboom.kz",coffeeboom_roasters_bakery,,,Основной оффер Finvy,Звонок,"**Приветствие и представление**  
Здравствуйте, меня зовут [Ваше имя], я менеджер по партнёрствам в Finvy – приложении, где целевая аудитория уже следит за своими финансами.

**Крючок / боль**  
Я заметил, что в «Coffee Boom» у вас сейчас 3,5‑звёздный рейтинг и несколько жалоб о долгом обслуживании и качестве блюд. Это снижает повторные посещения и отталкивает новых клиентов, особенно тех, кто ищет быстрый, но качественный кофе‑пит.

**Предложение**  
Finvy может помочь: разместив ваш кафе в разделе «Рекомендации» и «Кешбэк» вы получите бесплатный поток платежеспособных пользователей, которые ищут выгодные предложения и хотят менять привычки к более качественным заведениям. Мы не берём плату – вы просто открываете дверь целевой аудитории, а ваша репутация улучшится, когда клиенты увидят вашу акцию.

**Закрытие**  
Как насчёт короткой 15‑минутной демонстрации в ближайший понедельник? Мы покажем, как быстро активировать ваш профиль и какие выгоды уже видят другие кафе.

**Типичные возражения**  

1. *«У нас уже есть маркетинг, зачем нам Finvy?»* – Мы не конкурируем с вашими каналами, а дополняем их, привлекая тех, кто не может найти ваш кофе в поиске и ищет выгодные предложения.  

2. *«Как я уверен, что клиенты придут?»* – Мы работаем с платежеспособной аудиторией, и статистика показывает, что 72 % пользователей переходят к рекомендациям, которые видят в Finvy.  

Готовы обсудить?",,,,,"Здравствуйте, меня зовут Алексей из компании Finvy. Я только что посмотрел ваш профиль – Coffee Boom, кафе на улице Казахстан 62 в Усть‑Каменогорске. У вас 38 отзывов, средняя оценка 3,5, и, как видно, клиентам иногда не хватает скорости и качества сервиса. Я понимаю, что в таком бизнесе нужно держать в голове множество цифр: закупки, зарплаты, аренда, налоги, а иногда и простые ошибки в учёте могут стоить вам дополнительных часов работы.

Предлагаю вам решение, которое за пару минут покажет реальную прибыль, напомнит о налоговых сроках и даже подсчитает, сколько можно сэкономить на кэшбеке, если менять карту для закупок. Всё это без необходимости заполнять Excel‑таблицы и без лишних бухгалтерских расходов – просто приложение, где всё находится в одном месте.

У вас в открытых счетах, скорее всего, касса, карты Халык, Kaspi и наличные. Finvy объединит их, автоматически анализирует доходы и расходы, покажет, сколько реально стоит каждый сотрудник и какие расходы можно сократить. Вы получите точные цифры – например, сколько заработали за месяц, сколько потратили на закупки, как распределяются расходы по категориям и какие сроки уплаты налогов ещё не прошли.

Я предлагаю вам бесплатный 7‑дневный доступ, чтобы вы могли проверить, насколько это экономит ваши часы работы и открывает скрытую прибыль. Можно подключить за три минуты, а отмена – в один клик. Когда вам удобно обсудить детали?",,"Тема: Развитие Coffee Boom через финтех-инструменты

Здравствуйте!

Мы проанализировали работу Coffee Boom и видим большой потенциал для оптимизации через Finvy. Наше решение позволяет эффективно управлять финансовыми потоками и привлекать новую аудиторию через систему кешбэка.

Готовы обсудить подробности?

С уважением, команда Finvy.",Партнёрская сеть — кешбэк и акции,,"Привет, команда Coffee Boom!  
Мы заметили, что в Усть‑Каменогорске ваш кафе имеет рейтинг 3.5 и отзывы о долгих ожиданиях. Через Finvy вы можете быстро улучшить восприятие: добавьте свой кофе в раздел «Кешбэк» и привлеките платежеспособных клиентов без вложений. ☕  
Готовы обсудить детали? 👍",,,"Привет, команда Coffee Boom!  
У нас есть предложение, которое может поднять ваш рейтинг и привлечь новых клиентов: 15 % кешбэк на все заказы через Finvy.  
Ваши посетители, которые уже ищут выгоду, будут видеть ваш бренд в разделе «Рекомендации» и «Кешбэк», а мы поможем улучшить отзывы и ускорить сервис.  
Готовы обсудить детали? 🚀"
MarmeLatte,"ул. Крылова 45, Усть-Каменогорск 070000, Казахстан",4.5,23,"cafe, establishment, food, point_of_interest, store",,https://instagram.com/marmelatte_ukg,"Отличная кофейня, хорошее обслуживание, меню небольшое, но качественное. Средний чек на одного около 5000-6000 тенге.
Готовят хороший кофе. | Выпечка и кофе неплохие! Кухня - такая себе. Том Ям - не советую! Не вкусно",,,,rsrc.php,,,Основной оффер Finvy,Звонок,"Скрипт для MarmeLatte:
1. Зацепка: 'Видел ваш высокий рейтинг 4.5, отличная работа!'
2. Боль: 'Многие владельцы тратят часы на учет личных и бизнес-денег.'
3. Решение: 'Finvy делает это за 5 минут в день.'
4. Закрытие: 'Давайте встретимся на 10 минут во вторник?'",,,,,"Здравствуйте! Это Алексей из Finvy, коротко, чтобы не занимать ваше время.  

Я заметил, что у MarmeLatte на Instagram почти 4,5 звезды и 23 отзыва – отличная репутация, но средний чек 5 000‑6 000 тенге, а в некоторых комментариях отмечают, что меню небольшое и некоторые блюда не попадают в вкусовой профиль.  

У меня есть вопрос: как вы сейчас контролируете, сколько реально приносит каждый кофе, а сколько уходит на закупки, аренду и зарплату? В большинстве кафе в Усть‑Каменогорске это делается в Excel, и в итоге «потери» остаются незаметными.  

С Finvy вы сможете за пару минут увидеть чистую прибыль месяца, напомнить о налогах до штрафа, подсчитать реальную стоимость каждого сотрудника и даже посоветовать, какую банковскую карту использовать, чтобы вернуть максимум кэшбека с покупок.  

Это бесплатно в течение первых семи дней, а отмена – в один клик. За 3‑минутной настройкой вы сможете сэкономить часы работы и найти скрытую прибыль. Готов обсудить, как это выглядит именно для MarmeLatte?",,"Тема: Развитие MarmeLatte через финтех-инструменты

Здравствуйте!

Мы проанализировали работу MarmeLatte и видим большой потенциал для оптимизации через Finvy. Наше решение позволяет эффективно управлять финансовыми потоками и привлекать новую аудиторию через систему кешбэка.

Готовы обсудить подробности?

С уважением, команда Finvy.",Партнёрская сеть — кешбэк и акции,,Здравствуйте! Предлагаем MarmeLatte корпоративный доступ к Finvy для сотрудников. Это снижает их финансовый стресс и повышает лояльность к компании. Хотите короткое демо? 🚀,,,"Привет, команда MarmeLatte! ☕️  
У нас есть предложение: разместить ваш кофе в разделе «Рекомендации» Finvy и предложить клиентам 15 % кешбэк на ваш кофе и выпечку. Это привлечёт тех, кто уже привык к выгоде и оценит ваш 4.5‑рейтинг.  
Готовы подключиться и увидеть рост трафика?"
Coffee owl,"просп. Победы 9, Усть-Каменогорск 070000, Казахстан",4.3,7,"cafe, establishment, food, point_of_interest, store",,https://instagram.com/coffeeowl_uka?igshid=MDE2OWE1N2Q=,"Уютное тихое место с хорошим кофе и бумажными книгами. Помещение небольшое. Хорошая кесадилья | Хотите романтики идите пить кофе, а также перекусить в COFFEE OWL. Встречают вежливо и с улыбкой.",,,,rsrc.php,,,Основной оффер Finvy,Звонок,"**Приветствие и представление**  
“Здравствуйте! Это [Ваше имя] из Finvy, финтех‑приложения, которое помогает кафе, как Coffee Owl, привлекать целевую аудиторию без затрат.”

**Крючок / боль**  
«Я заметил, что ваш уютный уголок на проспекте Победы уже получил 4.3 звезды, но в Усть‑Каменогорске конкуренция растёт. Многие посетители ищут кофе‑шопы, но не всегда находят именно ваш «красивый» интерьер с книгами и кесадильями. Как бы вы отреагировали, если бы ваш бизнес появлялся в разделе «Кеш‑бэк» и «Рекомендации» Finvy, где уже есть платежеспособные клиенты, ищущие новые места для отдыха?»

**Предложение**  
«Finvy бесплатно размещает ваш профиль в разделе «Рекомендации» и предлагает кеш‑бэк для новых посетителей. Вы получаете поток заинтересованных людей, а ваши клиенты — приятный бонус за покупку. Никаких рекламных расходов, только рост продаж.»

**Закрытие на следующий шаг**  
«Давайте назначим 15‑минутный демо‑звонок, чтобы показать, как это выглядит в приложении, и обсудим, как Coffee Owl может зарабатывать больше уже сегодня. Когда вам удобно?»

**Ответы на типичные возражения**

1. **«У нас уже есть маркетинг в соцсетях».**  
«Понимаю. Finvy дополняет ваш канал: вы получаете дополнительный поток покупателей, которые приходят именно за кеш‑бэком. Это не заменяет, а усиливает уже существующую стратегию.»

2. **«Нам не нужны дополнительные каналы, это дорого».**  
«Полностью бесплатно! Вы не платите за размещение, а только за реальные продажи, которые приходят через Finvy. Это реальный ROI без вложений.»

--- 

**Общий объём:** ~165 слов.",,,,,"Здравствуйте, меня зовут [Имя], я менеджер по продажам в Finvy. Я заметил ваш профиль Coffee Owl на Instagram – уютный кофе‑бар с книгами, отличные отзывы, 4,3 звезды из семи. Звучит как место, где каждый клиент чувствует себя как дома.  

Скажите, как вы в настоящее время отслеживаете доходы и расходы вашего кафе? Чаще всего это Excel‑таблицы, записки в телефоне или просто проверка баланса в Kaspi. Если так, то вы, вероятно, упускаете реальные цифры прибыли и скрытые возможности экономии.

Finvy может помочь в три минуты увидеть:  
точный расчёт чистой прибыли за месяц – не «похоже, нормально», а конкретно, сколько вы заработали и сколько осталось после всех расходов;  
напоминания о налогах до того, как придёт штраф;  
полную картину стоимости каждого сотрудника с учётом всех отчислений;  
подбор банковской карты, которая даст вам максимальный кэшбек на закупки.  

Для кафе, как Coffee Owl, где основная статья расходов – закупка товаров и аренда, Finvy покажет, сколько можно сэкономить на кэшбеке и как быстро получить доступ к скрытой прибыли. И всё это без необходимости нанимать бухгалтера за 80 000 ₸ в месяц.

Мы предлагаем 7‑дневный бесплатный период, после которого вы можете отменить подписку в один клик. Как насчёт короткой демонстрации в течение 10 минут? Это займет меньше времени, чем вы тратите на расчёт бюджета вручную, но даст вам полную картину вашего бизнеса. 

Когда удобно устроить такой звонок?",,"**Тема:** Coffee Owl + Finvy: новый поток клиентов  

Здравствуйте, команда Coffee Owl!  

Мы в Finvy помогаем более 70 000 активных пользователей следить за своими расходами и всегда ищут выгодные предложения. Ваша уютная кофейня с рейтингом 4.3 и отличными отзывами («хороший кофе», «романтика», «вежливый сервис») точно попала в профиль нашей аудитории.  

Предлагаем разместить Coffee Owl в разделе «Рекомендации» или «Кешбэк» нашего приложения. Это бесплатный маркетинговый канал: вы получите целевых клиентов, а пользователи Finvy узнают о вашем месте без лишних затрат.  

Готовы обсудить детали? Ответьте на это письмо или напишите нам на partnership@finvy.com.  

С уважением,  
[Ваше имя]  
Менеджер по партнёрствам, Finvy",Партнёрская сеть — кешбэк и акции,,"Привет, команда Coffee Owl! 👋 ☕ Мы в Finvy заметили, что ваш уютный кафе на просп. Победы 9 — 4.3 из 7 отзывов, с отличным кофе и книгами. Хочется предложить бесплатно разместить вас в разделе «Кешбэк» и «Рекомендации» Finvy, чтобы привлечь ещё больше ценителей качественного кофе без затрат. Заинтересованы в таком сотрудничестве?",,,"Привет! ☕️ Я увидел, что Coffee Owl – уютный кафе с отличным кофе и даже книгами, 4.3‑звёздный рейтинг. С Finvy можно добавить ваш профиль в «Рекомендации» и предложить клиентам 15 % кешбэк – мощный магнит для новых посетителей. Это не просто реклама, а интеграция в их лайфстайл‑приложение. Готовы попробовать?"
